Method,Robots,Tasks,Candidates,Score,Length
rank_assignments_majority_judgment,10,7,25,3.034632034632035,230.6
rank_assignments_cumulative_voting,10,7,25,2.8478808013691737,171.4
rank_assignments_condorcet_method,10,7,25,3.838537591173842,2689.1
rank_assignments_range,10,7,25,3.84241356016609,60.9
cbba_task_allocation,10,7,25,4.450940691949036,60.8
ssia_task_allocation,10,7,25,4.450940691949036,767.2
ilp_task_allocation,10,7,25,4.450940691949036,22772.0
jv_task_allocation,10,7,25,4.450940691949036,58.1
rank_assignments_borda,10,7,25,4.945906965985078,155.6
rank_assignments_approval,10,7,25,3.425822399388882,108.6
rank_assignments_majority_judgment,10,7,25,1.5630725863284,240.5
rank_assignments_cumulative_voting,10,7,25,6.058310066760271,170.6
rank_assignments_condorcet_method,10,7,25,5.069937973737015,2658.3
rank_assignments_range,10,7,25,5.162961229550969,60.5
cbba_task_allocation,10,7,25,6.112573632651743,77.9
ssia_task_allocation,10,7,25,6.190093012496704,563.8
ilp_task_allocation,10,7,25,6.190093012496704,23381.4
jv_task_allocation,10,7,25,6.190093012496704,76.7
rank_assignments_borda,10,7,25,3.280858618415022,186.4
rank_assignments_approval,10,7,25,3.4940369129886655,112.0
rank_assignments_majority_judgment,10,7,25,2.004681365146481,296.5
rank_assignments_cumulative_voting,10,7,25,3.6258198587251,182.9
rank_assignments_condorcet_method,10,7,25,3.6258198587251,2600.3
rank_assignments_range,10,7,25,3.6258198587251,56.5
cbba_task_allocation,10,7,25,3.8312462153142466,40.7
ssia_task_allocation,10,7,25,3.831246215314247,453.2
ilp_task_allocation,10,7,25,3.831246215314247,24747.5
jv_task_allocation,10,7,25,3.831246215314247,54.1
rank_assignments_borda,10,7,50,1.6272022551092316,325.8
rank_assignments_approval,10,7,50,2.403503473270915,212.0
rank_assignments_majority_judgment,10,7,50,1.526829759387899,429.5
rank_assignments_cumulative_voting,10,7,50,2.294976341487969,332.1
rank_assignments_condorcet_method,10,7,50,2.294976341487969,10788.2
rank_assignments_range,10,7,50,2.581798046914326,103.6
cbba_task_allocation,10,7,50,3.4897582459193006,80.9
ssia_task_allocation,10,7,50,2.5662941709453335,537.8
ilp_task_allocation,10,7,50,3.567277625764262,20622.1
jv_task_allocation,10,7,50,3.567277625764262,56.0
rank_assignments_borda,10,7,50,0.9443269908386186,283.2
rank_assignments_approval,10,7,50,0.0,221.4
rank_assignments_majority_judgment,10,7,50,0.0,434.1
rank_assignments_cumulative_voting,10,7,50,0.835799859055673,334.8
rank_assignments_condorcet_method,10,7,50,0.6730091613812543,10900.9
rank_assignments_range,10,7,50,0.9443269908386186,97.8
cbba_task_allocation,10,7,50,0.9443269908386186,40.2
ssia_task_allocation,10,7,50,0.9443269908386186,455.3
ilp_task_allocation,10,7,50,0.9443269908386186,20688.9
jv_task_allocation,10,7,50,0.9443269908386186,177.0
rank_assignments_borda,10,7,50,3.746168719735203,309.3
rank_assignments_approval,10,7,50,3.7019530856740155,243.5
rank_assignments_majority_judgment,10,7,50,3.3469439135336523,399.5
rank_assignments_cumulative_voting,10,7,50,3.67192878855496,333.8
rank_assignments_condorcet_method,10,7,50,3.625417160647983,11549.1
rank_assignments_range,10,7,50,3.746168719735203,96.2
cbba_task_allocation,10,7,50,3.8347194862293783,48.9
ssia_task_allocation,10,7,50,3.746168719735203,501.3
ilp_task_allocation,10,7,50,3.8347194862293783,23941.7
jv_task_allocation,10,7,50,3.8347194862293783,56.4
rank_assignments_borda,10,7,50,1.5207892882311487,286.0
rank_assignments_approval,10,7,50,1.4277660324171952,219.2
rank_assignments_majority_judgment,10,7,50,0.806906272022551,413.1
rank_assignments_cumulative_voting,10,7,50,2.234672304439746,315.2
rank_assignments_condorcet_method,10,7,50,2.3276955602536997,11216.2
rank_assignments_range,10,7,50,2.3276955602536997,98.8
cbba_task_allocation,10,7,50,3.441678636175352,90.0
ssia_task_allocation,10,7,50,3.397463002114165,636.9
ilp_task_allocation,10,7,50,3.441678636175352,22466.6
jv_task_allocation,10,7,50,3.441678636175352,53.5
rank_assignments_borda,10,7,50,3.1415175569445055,293.5
rank_assignments_approval,10,7,50,3.1453935259367536,249.0
rank_assignments_majority_judgment,10,7,50,3.9030806402899425,395.5
rank_assignments_cumulative_voting,10,7,50,3.895328702305447,324.7
rank_assignments_condorcet_method,10,7,50,3.8697768945061686,11649.8
rank_assignments_range,10,7,50,4.055823406134075,111.5
cbba_task_allocation,10,7,50,4.055823406134076,55.6
ssia_task_allocation,10,7,50,4.055823406134076,634.3
ilp_task_allocation,10,7,50,4.055823406134075,24700.8
jv_task_allocation,10,7,50,4.055823406134076,67.6
rank_assignments_borda,10,7,100,3.510775930074784,672.7
rank_assignments_approval,10,7,100,2.66095526595353,422.5
rank_assignments_majority_judgment,10,7,100,1.6754756871035938,742.2
rank_assignments_cumulative_voting,10,7,100,4.271170574190359,653.6
rank_assignments_condorcet_method,10,7,100,4.096751969539196,44723.7
rank_assignments_range,10,7,100,4.364790350331842,182.0
cbba_task_allocation,10,7,100,5.617711789646894,65.6
ssia_task_allocation,10,7,100,5.656471479569374,642.1
ilp_task_allocation,10,7,100,5.733990859414336,22965.9
jv_task_allocation,10,7,100,5.733990859414336,59.2
rank_assignments_borda,10,7,100,1.6103392731299708,588.0
rank_assignments_approval,10,7,100,1.3894090405718313,429.3
rank_assignments_majority_judgment,10,7,100,0.7061310782241016,735.6
rank_assignments_cumulative_voting,10,7,100,1.6103392731299708,651.6
rank_assignments_condorcet_method,10,7,100,1.513440048323769,43763.1
rank_assignments_range,10,7,100,1.7343702808819086,162.8
cbba_task_allocation,10,7,100,1.7343702808819086,39.7
ssia_task_allocation,10,7,100,1.7343702808819086,506.3
ilp_task_allocation,10,7,100,1.7343702808819086,20767.0
jv_task_allocation,10,7,100,1.7343702808819086,58.7
rank_assignments_borda,10,7,100,3.2207987408768517,581.8
rank_assignments_approval,10,7,100,2.8767240511426553,436.9
rank_assignments_majority_judgment,10,7,100,2.257978455652874,739.3
rank_assignments_cumulative_voting,10,7,100,4.056598599932525,635.4
rank_assignments_condorcet_method,10,7,100,4.1806296076844625,44851.3
rank_assignments_range,10,7,100,4.330212423235679,182.3
cbba_task_allocation,10,7,100,4.703885421637951,70.2
ssia_task_allocation,10,7,100,4.703885421637951,727.8
ilp_task_allocation,10,7,100,4.703885421637951,26810.0
jv_task_allocation,10,7,100,4.703885421637951,60.1
rank_assignments_borda,10,7,100,0.7941508104298802,592.0
rank_assignments_approval,10,7,100,0.0,425.0
rank_assignments_majority_judgment,10,7,100,0.7941508104298802,751.2
rank_assignments_cumulative_voting,10,7,100,1.5883016208597605,604.8
rank_assignments_condorcet_method,10,7,100,1.5883016208597605,44424.0
rank_assignments_range,10,7,100,1.5883016208597605,191.0
cbba_task_allocation,10,7,100,1.5883016208597605,39.2
ssia_task_allocation,10,7,100,1.5883016208597605,635.0
ilp_task_allocation,10,7,100,1.5883016208597605,21101.7
jv_task_allocation,10,7,100,1.5883016208597605,57.2
rank_assignments_borda,10,7,100,1.514799154334038,584.8
rank_assignments_approval,10,7,100,1.6000704721634955,424.3
rank_assignments_majority_judgment,10,7,100,1.452783650458069,749.8
rank_assignments_cumulative_voting,10,7,100,1.514799154334038,688.6
rank_assignments_condorcet_method,10,7,100,1.518675123326286,43487.8
rank_assignments_range,10,7,100,1.6039464411557436,186.2
cbba_task_allocation,10,7,100,1.658210007047216,56.8
ssia_task_allocation,10,7,100,1.712473572938689,632.2
ilp_task_allocation,10,7,100,1.712473572938689,20402.0
jv_task_allocation,10,7,100,1.712473572938689,67.0
rank_assignments_borda,10,10,10,3.2977247558642904,85.3
rank_assignments_approval,10,10,10,4.271153594756511,58.1
rank_assignments_majority_judgment,10,10,10,3.169817779120105,137.6
rank_assignments_cumulative_voting,10,10,10,5.007587703283642,90.7
rank_assignments_condorcet_method,10,10,10,3.1155542132286316,500.0
rank_assignments_range,10,10,10,4.259948520760738,49.8
cbba_task_allocation,10,10,10,5.186865731745982,75.5
ssia_task_allocation,10,10,10,5.123866773051083,751.7
ilp_task_allocation,10,10,10,5.256633173606447,27898.5
jv_task_allocation,10,10,10,5.256633173606447,54.9
rank_assignments_borda,10,10,10,2.65292459478506,78.5
rank_assignments_approval,10,10,10,2.749823819591261,58.2
rank_assignments_majority_judgment,10,10,10,2.490133897110641,139.5
rank_assignments_cumulative_voting,10,10,10,2.0288935870331217,112.2
rank_assignments_condorcet_method,10,10,10,3.294039453652448,478.1
rank_assignments_range,10,10,10,2.649327358976786,54.5
cbba_task_allocation,10,10,10,3.8980940961156163,77.4
ssia_task_allocation,10,10,10,3.8980940961156163,784.9
ilp_task_allocation,10,10,10,3.8980940961156163,27336.3
jv_task_allocation,10,10,10,3.8980940961156163,56.0
rank_assignments_borda,10,10,10,4.92842732877443,83.7
rank_assignments_approval,10,10,10,3.9506996879089904,66.9
rank_assignments_majority_judgment,10,10,10,2.1812141347025067,154.8
