Method,Robots,Tasks,Candidates,Score,Length
ssia_task_allocation,10,5,100,4.39410213846304,8.5
ilp_task_allocation,10,5,100,4.39410213846304,24264.1
jv_task_allocation,10,5,100,4.39410213846304,89.4
rank_assignments_borda,10,5,100,3.589935141137882,488.0
rank_assignments_approval,10,5,100,1.7753728357014449,329.4
rank_assignments_majority_judgment,10,5,100,3.705581399641283,735.4
rank_assignments_cumulative_voting,10,5,100,3.5899351411378824,541.6
rank_assignments_condorcet_method,10,5,100,3.705581399641283,37573.9
rank_assignments_range,10,5,100,3.7055813996412836,101.8
cbba_task_allocation,10,5,100,3.705581399641283,49.1
ssia_task_allocation,10,5,100,3.705581399641283,8.2
ilp_task_allocation,10,5,100,3.7055813996412836,20884.1
jv_task_allocation,10,5,100,3.705581399641283,94.2
rank_assignments_borda,10,7,10,3.5175061695492467,69.3
rank_assignments_approval,10,7,10,0.8313325330132053,46.4
rank_assignments_majority_judgment,10,7,10,2.5996503864703775,120.5
rank_assignments_cumulative_voting,10,7,10,3.511240976905025,74.4
rank_assignments_condorcet_method,10,7,10,3.511240976905025,392.6
rank_assignments_range,10,7,10,2.6861736365360414,14.2
cbba_task_allocation,10,7,10,4.517506169549247,58.0
ssia_task_allocation,10,7,10,4.511240976905025,9.8
ilp_task_allocation,10,7,10,4.517506169549247,21145.7
jv_task_allocation,10,7,10,4.517506169549247,91.5
rank_assignments_borda,10,7,10,2.2803930255955844,64.4
rank_assignments_approval,10,7,10,3.2786028358354695,49.0
rank_assignments_majority_judgment,10,7,10,3.043908958284449,121.1
rank_assignments_cumulative_voting,10,7,10,3.261596033114381,119.8
rank_assignments_condorcet_method,10,7,10,3.27860283583547,403.5
rank_assignments_range,10,7,10,3.435065420869483,14.2
cbba_task_allocation,10,7,10,3.435065420869483,45.1
ssia_task_allocation,10,7,10,2.5430459265045733,9.9
ilp_task_allocation,10,7,10,3.4826844684885305,24444.4
jv_task_allocation,10,7,10,3.4826844684885305,89.8
rank_assignments_borda,10,7,10,4.441437936071466,66.2
rank_assignments_approval,10,7,10,1.5928620251928522,46.5
rank_assignments_majority_judgment,10,7,10,4.206744058520446,136.2
rank_assignments_cumulative_voting,10,7,10,2.633851272183602,79.1
rank_assignments_condorcet_method,10,7,10,4.159988042681275,393.8
rank_assignments_range,10,7,10,3.5044526156274993,14.2
cbba_task_allocation,10,7,10,6.204921805660151,37.2
ssia_task_allocation,10,7,10,6.204921805660151,9.6
ilp_task_allocation,10,7,10,6.204921805660151,23263.0
jv_task_allocation,10,7,10,6.20492180566015,97.2
rank_assignments_borda,10,7,10,2.454497588509088,65.2
rank_assignments_approval,10,7,10,1.9037615046018408,45.9
rank_assignments_majority_judgment,10,7,10,2.5558482935158797,116.9
rank_assignments_cumulative_voting,10,7,10,5.541242451178945,93.9
rank_assignments_condorcet_method,10,7,10,2.725890356142457,393.3
rank_assignments_range,10,7,10,4.279053365018165,14.4
cbba_task_allocation,10,7,10,6.351482336606801,48.1
ssia_task_allocation,10,7,10,6.3514823366068,9.1
ilp_task_allocation,10,7,10,6.351482336606801,20694.8
jv_task_allocation,10,7,10,6.3514823366068,92.6
rank_assignments_borda,10,7,10,2.8221288515406164,66.4
rank_assignments_approval,10,7,10,0.9115905904346472,45.9
rank_assignments_majority_judgment,10,7,10,3.543959327403119,123.1
rank_assignments_cumulative_voting,10,7,10,3.7337194419752633,75.0
rank_assignments_condorcet_method,10,7,10,3.7337194419752637,474.1
rank_assignments_range,10,7,10,2.9115905904346473,14.3
cbba_task_allocation,10,7,10,3.815352095036488,66.3
ssia_task_allocation,10,7,10,3.815352095036488,9.6
ilp_task_allocation,10,7,10,3.815352095036488,21292.2
jv_task_allocation,10,7,10,3.815352095036488,280.2
rank_assignments_borda,10,7,25,3.5856127211293,153.5
rank_assignments_approval,10,7,25,3.531801723045856,106.8
rank_assignments_majority_judgment,10,7,25,3.4580774965131376,226.7
rank_assignments_cumulative_voting,10,7,25,5.1641704600143274,167.9
rank_assignments_condorcet_method,10,7,25,4.47748525961838,2690.1
rank_assignments_range,10,7,25,5.332837927001123,32.8
cbba_task_allocation,10,7,25,5.414470580062347,44.0
ssia_task_allocation,10,7,25,5.414470580062346,9.8
ilp_task_allocation,10,7,25,5.414470580062346,28476.6
jv_task_allocation,10,7,25,5.414470580062347,92.4
rank_assignments_borda,10,7,25,1.6907854050711193,146.7
rank_assignments_approval,10,7,25,1.5945469096729603,106.9
rank_assignments_majority_judgment,10,7,25,1.6907854050711193,224.1
rank_assignments_cumulative_voting,10,7,25,3.5393353513654264,167.1
rank_assignments_condorcet_method,10,7,25,3.216922175568792,2901.2
rank_assignments_range,10,7,25,4.310443794742778,33.0
cbba_task_allocation,10,7,25,4.402280529436656,43.8
ssia_task_allocation,10,7,25,4.1717040883338985,9.9
ilp_task_allocation,10,7,25,4.402280529436656,22245.4
jv_task_allocation,10,7,25,4.402280529436656,107.3
rank_assignments_borda,10,7,25,2.479380754658501,150.5
rank_assignments_approval,10,7,25,2.7123581561454118,108.9
rank_assignments_majority_judgment,10,7,25,2.375623462267861,225.4
rank_assignments_cumulative_voting,10,7,25,5.452806605513106,204.7
rank_assignments_condorcet_method,10,7,25,5.25552769394848,2920.6
rank_assignments_range,10,7,25,4.278474185978128,31.4
cbba_task_allocation,10,7,25,5.452806605513106,44.7
ssia_task_allocation,10,7,25,5.452806605513106,9.6
ilp_task_allocation,10,7,25,5.452806605513105,23781.4
jv_task_allocation,10,7,25,5.452806605513106,103.7
rank_assignments_borda,10,7,25,2.6474567143604726,154.1
rank_assignments_approval,10,7,25,2.5318104558570713,115.6
rank_assignments_majority_judgment,10,7,25,2.688273040891085,224.6
rank_assignments_cumulative_voting,10,7,25,3.6252583613350517,173.6
rank_assignments_condorcet_method,10,7,25,4.536848951769699,2698.6
rank_assignments_range,10,7,25,4.536848951769699,32.4
cbba_task_allocation,10,7,25,5.5368489517696995,55.5
ssia_task_allocation,10,7,25,5.536848951769699,9.4
ilp_task_allocation,10,7,25,5.5368489517696995,20721.8
jv_task_allocation,10,7,25,5.5368489517696995,91.9
rank_assignments_borda,10,7,25,2.4442121489029804,154.5
rank_assignments_approval,10,7,25,1.6066144232455533,108.7
rank_assignments_majority_judgment,10,7,25,3.206832986711788,219.5
rank_assignments_cumulative_voting,10,7,25,2.4442121489029804,166.6
rank_assignments_condorcet_method,10,7,25,2.5103759278473943,2668.7
rank_assignments_range,10,7,25,3.3206158132752495,31.6
cbba_task_allocation,10,7,25,3.320615813275249,96.3
ssia_task_allocation,10,7,25,3.2544520343308356,9.4
ilp_task_allocation,10,7,25,3.320615813275249,22416.0
jv_task_allocation,10,7,25,3.320615813275249,87.5
rank_assignments_borda,10,7,50,1.719607460208964,333.0
rank_assignments_approval,10,7,50,2.719607460208964,215.4
rank_assignments_majority_judgment,10,7,50,1.769016697588126,429.6
rank_assignments_cumulative_voting,10,7,50,3.480511821953662,317.5
rank_assignments_condorcet_method,10,7,50,3.2594233865795124,11338.2
rank_assignments_range,10,7,50,3.5281308695727094,61.0
cbba_task_allocation,10,7,50,3.5281308695727094,65.5
ssia_task_allocation,10,7,50,3.5281308695727094,9.5
ilp_task_allocation,10,7,50,3.5281308695727094,24278.2
jv_task_allocation,10,7,50,3.5281308695727094,95.7
rank_assignments_borda,10,7,50,3.463701269981677,311.5
rank_assignments_approval,10,7,50,0.0,218.2
rank_assignments_majority_judgment,10,7,50,1.6323687369684716,401.0
rank_assignments_cumulative_voting,10,7,50,2.9037615046018406,325.5
rank_assignments_condorcet_method,10,7,50,3.714001390029696,10763.4
rank_assignments_range,10,7,50,3.463701269981677,63.7
cbba_task_allocation,10,7,50,4.4298982750995135,55.5
ssia_task_allocation,10,7,50,4.4298982750995135,10.2
ilp_task_allocation,10,7,50,4.4298982750995135,25236.7
jv_task_allocation,10,7,50,4.4298982750995135,281.5
rank_assignments_borda,10,7,50,1.7337194419752635,288.1
rank_assignments_approval,10,7,50,0.9037615046018408,214.4
rank_assignments_majority_judgment,10,7,50,4.384706152448926,390.6
