Robots,Tasks,Candidates,Voting_Method,Suitability_Method,Score_Voting,Time_Voting,Score_CBBA,Time_CBBA,Score_SSIA,Time_SSIA,Score_ILP,Time_ILP
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,578.7,0,96.5,0,21.6,0,74479.1
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,627.9,0,104.8,0,23.9,0,72958.5
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,599.7,0,97.7,0,22,0,73330.3
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,592.5,0,98.7,0,21.2,0,68714.9
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,596.9,0,97.2,0,21.3,0,71333
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,581.9,0,94.7,0,21.3,0,69302.4
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,621.9,0,101.3,0,22.7,0,70555.2
5,5,50,rank_assignments_approval,evaluate_suitability_strict,0,774.6,0,122.8,0,26.9,0,76578.1
5,5,50,rank_assignments_approval,evaluate_suitability_distance,1.777176891,614.3,2.667104047,145.1,2.427553346,20.8,2.667104047,75135.7
5,5,50,rank_assignments_approval,evaluate_suitability_distance,1.876555664,595.1,6.618967669,141.6,5.306987477,20.7,6.730775501,71076.2
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.215326808,644.2,6.953885192,128.5,6.700435986,23.8,6.988969653,73703.1
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.17583564,632.8,6.624056633,157,5.225706496,21.7,6.624056633,75398.2
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.251268372,582.5,4.798792844,118.6,4.760009655,19.2,4.798792844,69348.3
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.61201779,627.7,3.790451858,140.9,3.790451858,21.4,3.790451858,74702.7
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.641332814,595,3.587753339,135.3,3.651056077,21.7,3.651056077,74606.7
5,5,50,rank_assignments_approval,evaluate_suitability_distance,4.153581017,648.9,7.42405357,161,5.64968452,24.4,7.476949404,73375.8
5,5,50,rank_assignments_approval,evaluate_suitability_distance,27.50597764,779.2,29.28955546,170.9,4.358494431,28.3,29.28955546,76099.2
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.772019306,601.6,3.828554995,167.1,3.6988875,21.9,4.187527425,78702.8
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.265337302,589.7,5.943639673,155.5,5.91884542,20.8,5.994039049,67977.1
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.005619395,600.3,5.319047593,134.1,5.337484515,21,5.337484515,73746.5
5,5,50,rank_assignments_approval,evaluate_suitability_distance,1.898278237,617.2,6.052637478,149.7,3.37839489,21.8,6.052637478,75562.4
5,5,50,rank_assignments_approval,evaluate_suitability_distance,3.429177952,593.6,4.039311054,205.7,2.942551599,21.7,4.039311054,66096.8
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.20437335,626.8,2.297350155,148.8,1.982681236,21.7,2.35364775,71813.2
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.6119926,612,4.828419941,132.1,4.426385743,21.7,4.899747409,70855
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.705505732,588,4.518458435,157.2,4.234087502,20.7,4.549572581,71524.2
5,5,50,rank_assignments_approval,evaluate_suitability_distance,6.562348612,640.7,8.195361844,130.6,7.493568914,23.2,8.268878711,76251.6
